Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Metodo,Cantidad_Trade
30804.35,2023-07-05 01:50:37.185309,30805.35,2023-07-05 01:51:06.450116,0.005,SEÑAL,0.005
30809.76,2023-07-05 01:51:13.232597,30810.33,2023-07-05 01:51:13.807909,0.0028500000000167345,UMBRAL_PERDIDA,0.005
30403.11,2023-07-05 14:38:40.513590,30406.21,2023-07-05 14:39:27.196395,0.015499999999992724,SEÑAL,0.005
30416.29,2023-07-05 14:40:13.423027,30419.35,2023-07-05 14:41:18.585303,0.01529999999998836,SEÑAL,0.005
30439.83,2023-07-05 14:43:33.870102,30444.13,2023-07-05 14:43:57.016325,0.021499999999996362,SEÑAL,0.005
30441.97,2023-07-05 14:45:18.215333,30445.5,2023-07-05 14:45:54.759185,0.01764999999999418,SEÑAL,0.005
30402.97,2023-07-05 14:50:21.367461,30416.35,2023-07-05 14:51:31.445236,0.0668999999999869,SEÑAL,0.005
30432.12,2023-07-05 14:53:18.952906,30434.41,2023-07-05 14:53:42.489284,0.011450000000004366,SEÑAL,0.005
30431.42,2023-07-05 14:53:46.153402,30432.42,2023-07-05 14:53:56.197096,0.005,SEÑAL,0.005
30434.81,2023-07-05 14:53:59.884549,30435.35,2023-07-05 14:54:12.656331,0.0026999999999861757,SEÑAL,0.005
30374.42,2023-07-05 15:07:47.351904,30375.84,2023-07-05 15:08:15.261127,0.007100000000009459,UMBRAL_PERDIDA,0.005
30368.82,2023-07-05 15:11:29.916323,30371.94,2023-07-05 15:12:56.597050,0.015599999999994908,SEÑAL,0.005
30322.68,2023-07-05 15:20:59.431004,30325.17,2023-07-05 15:21:09.453249,0.012449999999989815,SEÑAL,0.005
30334.78,2023-07-05 15:21:46.758581,30363.49,2023-07-05 15:23:34.325891,0.14355000000001383,SEÑAL,0.005
30360.86,2023-07-05 15:29:15.117998,30372.21,2023-07-05 15:30:12.040650,0.05674999999999272,SEÑAL,0.005
30269.0,2023-07-05 15:39:27.264677,30271.2,2023-07-05 15:39:28.643429,0.011000000000003639,UMBRAL_PERDIDA,0.005
30264.81,2023-07-05 15:39:32.489850,30275.66,2023-07-05 15:40:58.223561,0.05424999999999273,SEÑAL,0.005
30356.74,2023-07-05 15:45:25.742479,30358.98,2023-07-05 15:46:04.534475,0.011199999999989814,SEÑAL,0.005
30330.46,2023-07-05 15:49:54.218710,30333.13,2023-07-05 15:50:50.898645,0.013350000000009458,SEÑAL,0.005
30351.89,2023-07-05 15:51:58.755354,30355.41,2023-07-05 15:52:45.469361,0.017600000000002183,SEÑAL,0.005
30365.2,2023-07-05 15:55:30.539567,30365.61,2023-07-05 15:56:44.534747,0.0020499999999992725,SEÑAL,0.005
30427.18,2023-07-05 16:37:12.861822,30446.43,2023-07-05 16:39:44.212319,0.09625,1G,0.005
30433.12,2023-07-05 16:42:29.282711,30443.01,2023-07-05 16:44:10.317644,0.049449999999997094,2G,0.005
30422.55,2023-07-05 16:46:42.124468,30429.07,2023-07-05 16:47:56.323565,0.03260000000000218,2G,0.005
30429.57,2023-07-05 16:48:20.260140,30433.11,2023-07-05 16:49:27.158994,0.017700000000004365,2G,0.005
30428.37,2023-07-05 16:51:16.245113,30447.09,2023-07-05 16:54:29.139723,0.09360000000000582,1G,0.005
30457.09,2023-07-05 16:55:50.279227,30466.38,2023-07-05 16:56:50.518361,0.04645000000000437,2G,0.005
30450.59,2023-07-05 17:02:17.038094,30468.01,2023-07-05 17:03:44.140834,0.08709999999999127,1G,0.005
30481.25,2023-07-05 17:06:33.110775,30498.69,2023-07-05 17:08:00.363462,0.08719999999999345,1G,0.005
30478.8,2023-07-05 17:11:02.265015,30501.4,2023-07-05 17:12:19.450191,0.11300000000001091,1G,0.005
30503.35,2023-07-05 17:20:44.978382,30509.28,2023-07-05 17:22:16.088640,0.029650000000001456,2G,0.005
30522.03,2023-07-05 17:25:45.512042,30542.23,2023-07-05 17:26:52.695113,0.10100000000000364,1G,0.005
30548.82,2023-07-05 17:27:19.874686,30552.01,2023-07-05 17:27:53.936518,0.015949999999993452,2G,0.005
30507.25,2023-07-05 17:33:03.948504,30520.53,2023-07-05 17:35:50.375697,0.06639999999999419,2G,0.005
30522.56,2023-07-05 17:38:31.997988,30524.21,2023-07-05 17:39:07.098714,0.008249999999989086,2G,0.005
30497.57,2023-07-05 17:41:22.148347,30509.63,2023-07-05 17:43:09.302769,0.06030000000000655,2G,0.005
30512.09,2023-07-05 17:45:54.231807,30514.7,2023-07-05 17:46:47.734473,0.01305000000000291,2G,0.005
30512.54,2023-07-05 17:55:41.875472,30523.01,2023-07-05 17:58:44.758237,0.05234999999998763,2G,0.005
30516.62,2023-07-05 18:05:01.891464,30537.48,2023-07-05 18:06:29.711406,0.10430000000000292,1G,0.005
30554.68,2023-07-05 18:07:26.848624,30575.61,2023-07-05 18:09:11.018836,0.10465000000000146,1G,0.005
30451.52,2023-07-05 18:28:41.474326,30461.7,2023-07-05 18:28:54.719258,0.05090000000000146,2G,0.005
30474.23,2023-07-05 18:30:45.893708,30479.82,2023-07-05 18:32:00.156716,0.027950000000000728,2G,0.005
30471.84,2023-07-05 18:36:33.055448,30477.18,2023-07-05 18:37:46.361535,0.026700000000000727,2G,0.005
30455.58,2023-07-05 18:40:32.027774,30475.03,2023-07-05 18:42:12.538688,0.09724999999998545,1G,0.005
30444.89,2023-07-05 18:45:47.065436,30445.56,2023-07-05 18:45:50.096409,0.0033500000000094587,1P,0.005
30450.42,2023-07-05 18:45:51.562210,30450.84,2023-07-05 18:45:52.685925,0.002100000000009459,1P,0.005
30449.38,2023-07-05 18:45:54.803365,30469.33,2023-07-05 18:47:07.642165,0.09975000000000364,1G,0.005
30474.84,2023-07-05 18:53:22.903319,30476.83,2023-07-05 18:55:30.659048,0.009950000000008005,2G,0.005
30480.72,2023-07-05 18:56:33.101583,30502.82,2023-07-05 18:59:50.767221,0.11049999999999273,1G,0.005
30471.65,2023-07-05 19:05:29.735420,30478.66,2023-07-05 19:07:23.336833,0.035049999999992,2G,0.005
30481.63,2023-07-05 19:08:21.402764,30498.9,2023-07-05 19:11:06.880399,0.08635000000000219,1G,0.005
30497.75,2023-07-05 19:15:47.670189,30505.14,2023-07-05 19:17:13.367419,0.03694999999999709,2G,0.005
30508.53,2023-07-05 19:17:24.088242,30517.98,2023-07-05 19:18:34.849388,0.047250000000003636,2G,0.005
30504.04,2023-07-05 19:21:01.743067,30515.1,2023-07-05 19:22:25.905944,0.05529999999998836,2G,0.005
30491.3,2023-07-05 19:23:54.089435,30497.04,2023-07-05 19:25:51.382312,0.028700000000008004,2G,0.005
30504.13,2023-07-05 19:28:17.211324,30519.71,2023-07-05 19:32:52.053749,0.07789999999999055,1G,0.005
30516.81,2023-07-05 19:36:15.813416,30526.27,2023-07-05 19:37:43.503254,0.04729999999999564,2G,0.005
30504.99,2023-07-05 19:45:25.020021,30511.44,2023-07-05 19:46:15.692136,0.03224999999998545,2G,0.005
30433.56,2023-07-05 20:00:54.724506,30457.64,2023-07-05 20:02:21.707502,0.12039999999999054,1G,0.005
30426.81,2023-07-05 20:05:34.058270,30435.68,2023-07-05 20:06:51.101079,0.04434999999999491,2G,0.005
30448.7,2023-07-05 20:07:21.449689,30455.88,2023-07-05 20:09:43.563129,0.03590000000000146,2G,0.005
30456.94,2023-07-05 20:10:57.700753,30462.39,2023-07-05 20:11:54.782065,0.02725000000000364,2G,0.005
30435.24,2023-07-05 20:15:26.586597,30442.81,2023-07-05 20:16:54.687393,0.037849999999998545,2G,0.005
30445.13,2023-07-05 20:18:28.615205,30455.13,2023-07-05 20:26:44.877377,0.05,2G,0.005
30458.25,2023-07-05 20:33:11.193949,30470.11,2023-07-05 20:35:53.299229,0.05930000000000291,2G,0.005
30465.72,2023-07-05 20:37:28.220873,30485.68,2023-07-05 20:38:56.004281,0.09979999999999564,1G,0.005
30475.22,2023-07-05 20:48:20.795287,30483.39,2023-07-05 20:55:46.433617,0.04084999999999127,2G,0.005
30459.54,2023-07-05 20:59:59.640239,30468.33,2023-07-05 21:01:40.096164,0.04395000000000437,2G,0.005
30443.3,2023-07-05 21:07:02.240275,30448.59,2023-07-05 21:08:53.757221,0.026450000000004366,2G,0.005
30442.61,2023-07-05 21:10:54.882273,30446.08,2023-07-05 21:12:50.364398,0.017350000000005823,2G,0.005
30446.36,2023-07-05 21:12:51.495373,30450.68,2023-07-05 21:15:30.142722,0.021599999999998544,2G,0.005
30483.75,2023-07-05 21:29:53.067422,30484.37,2023-07-05 21:30:36.250707,0.0030999999999949067,SEÑAL,0.005
30425.15,2023-07-05 21:41:12.242197,30450.99,2023-07-05 21:42:53.574519,0.12920000000000073,SEÑAL,0.005
30428.69,2023-07-05 21:48:41.579330,30444.51,2023-07-05 21:51:37.756374,0.07909999999999855,SEÑAL,0.005
30465.32,2023-07-05 21:59:32.148757,30465.63,2023-07-05 22:00:18.813394,0.0015500000000065483,SEÑAL,0.005
30442.41,2023-07-05 22:03:17.457851,30465.65,2023-07-05 22:06:16.263200,0.116200000000008,SEÑAL,0.005
30467.45,2023-07-05 22:15:26.240118,30495.1,2023-07-05 22:17:10.420401,0.13824999999998908,SEÑAL,0.005
30430.93,2023-07-05 22:35:51.728486,30455.02,2023-07-05 22:37:43.618583,0.12045000000000074,SEÑAL,0.005
30430.7,2023-07-05 22:51:07.499831,30442.05,2023-07-05 22:52:48.465611,0.05674999999999272,SEÑAL,0.005
30426.35,2023-07-05 22:58:59.485689,30427.15,2023-07-05 22:59:00.687615,0.004000000000014552,SEÑAL,0.005
30428.62,2023-07-05 22:59:09.180558,30436.78,2023-07-05 22:59:59.114966,0.040799999999999274,SEÑAL,0.005
30436.01,2023-07-05 23:00:06.271573,30436.28,2023-07-05 23:00:09.653648,0.0013500000000021828,SEÑAL,0.005
30394.99,2023-07-05 23:04:29.314070,30396.99,2023-07-05 23:06:13.470499,0.01,SEÑAL,0.005
30403.8,2023-07-05 23:08:01.328102,30419.24,2023-07-05 23:09:31.985956,0.07720000000001165,SEÑAL,0.005
30429.28,2023-07-05 23:13:41.716127,30433.55,2023-07-05 23:14:59.042774,0.021350000000002183,SEÑAL,0.005
30438.36,2023-07-05 23:15:57.522709,30440.1,2023-07-05 23:16:43.296574,0.008699999999989813,SEÑAL,0.005
30443.83,2023-07-05 23:17:20.911096,30457.77,2023-07-05 23:18:48.183663,0.06969999999999345,SEÑAL,0.005
30469.97,2023-07-05 23:19:52.944845,30479.71,2023-07-05 23:21:06.157795,0.048699999999989814,SEÑAL,0.005
30486.18,2023-07-05 23:22:07.019860,30488.23,2023-07-05 23:22:30.443433,0.010249999999996363,SEÑAL,0.005
30484.98,2023-07-05 23:24:01.508923,30492.58,2023-07-05 23:25:01.792555,0.038000000000010914,SEÑAL,0.005
30494.51,2023-07-05 23:29:11.382206,30496.88,2023-07-05 23:30:05.235203,0.011850000000013097,SEÑAL,0.005
30486.91,2023-07-05 23:33:41.560329,30488.05,2023-07-05 23:34:41.649133,0.005699999999997089,SEÑAL,0.005
30494.11,2023-07-05 23:35:36.116684,30498.95,2023-07-05 23:36:40.283331,0.024200000000000728,SEÑAL,0.005
30500.66,2023-07-05 23:38:53.034725,30501.16,2023-07-05 23:38:54.256763,0.0025,SEÑAL,0.005
30507.76,2023-07-05 23:39:12.601294,30520.09,2023-07-05 23:40:09.214322,0.06165000000000873,SEÑAL,0.005
30522.51,2023-07-05 23:42:18.994116,30525.27,2023-07-05 23:43:14.655055,0.013800000000010186,SEÑAL,0.005
30481.49,2023-07-05 23:49:18.820566,30497.73,2023-07-05 23:51:02.853803,0.08119999999998982,SEÑAL,0.005
30482.88,2023-07-05 23:53:21.136411,30502.88,2023-07-05 23:54:21.610977,0.1,SEÑAL,0.005
30503.62,2023-07-05 23:55:56.168053,30514.96,2023-07-05 23:56:53.003054,0.05670000000000073,SEÑAL,0.005
30478.07,2023-07-06 00:04:21.620711,30478.94,2023-07-06 00:05:49.023313,0.0043499999999949066,SEÑAL,0.005
30462.02,2023-07-06 00:08:50.867966,30462.73,2023-07-06 00:08:57.436613,0.0035499999999956343,SEÑAL,0.005
30462.56,2023-07-06 00:09:01.058140,30471.72,2023-07-06 00:10:08.012061,0.04579999999999927,SEÑAL,0.005
30448.44,2023-07-06 00:15:36.387603,30458.97,2023-07-06 00:16:56.996243,0.05265000000001237,SEÑAL,0.005
30460.79,2023-07-06 00:18:17.871585,30462.68,2023-07-06 00:18:31.345980,0.00944999999999709,SEÑAL,0.005
30461.79,2023-07-06 00:20:22.571850,30472.41,2023-07-06 00:21:43.490859,0.05309999999999491,SEÑAL,0.005
30483.19,2023-07-06 00:21:53.868557,30494.1,2023-07-06 00:22:40.709604,0.05454999999999927,SEÑAL,0.005
30496.33,2023-07-06 00:22:47.866862,30497.3,2023-07-06 00:23:00.844448,0.004849999999987631,SEÑAL,0.005
30503.47,2023-07-06 00:23:14.570628,30504.55,2023-07-06 00:23:21.133134,0.005399999999990542,SEÑAL,0.005
30504.55,2023-07-06 00:23:24.845620,30508.08,2023-07-06 00:23:44.792962,0.01765000000001237,SEÑAL,0.005
30429.8,2023-07-06 00:34:00.877061,30431.86,2023-07-06 00:34:51.055370,0.010300000000006549,SEÑAL,0.005
30444.84,2023-07-06 00:35:04.897500,30444.99,2023-07-06 00:35:05.487057,0.000750000000007276,UMBRAL_PERDIDA,0.005
30447.5,2023-07-06 00:35:06.925056,30447.6,2023-07-06 00:35:08.306803,0.000499999999992724,UMBRAL_PERDIDA,0.005
