Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
1922.59,2023-07-02 00:19:11.783697,1922.54,2023-07-02 00:19:12.230374,-0.0005000000000109139
1922.59,2023-07-02 00:19:14.004145,1922.43,2023-07-02 00:19:22.369750,-0.0016000000000531145
1921.51,2023-07-02 00:21:44.249599,1920.7,2023-07-02 00:21:54.839377,-0.08100000000013097
1920.74,2023-07-02 00:22:06.880611,1920.7,2023-07-02 00:22:07.329024,-0.004323199999817007
1920.75,2023-07-02 00:22:08.792236,1920.7,2023-07-02 00:22:08.979047,-0.005000000000109139
1920.79,2023-07-02 00:22:10.331926,1920.73,2023-07-02 00:22:10.917905,-0.0059999999994033715
1920.76,2023-07-02 00:22:11.852617,1920.7,2023-07-02 00:22:12.034004,-0.006000000000312866
1920.72,2023-07-02 00:22:12.947862,1920.7,2023-07-02 00:22:13.128836,-0.001999999999497959
1920.72,2023-07-02 00:22:17.030071,1919.34,2023-07-02 00:24:17.577995,-0.13800000000082946
1920.98,2023-07-02 00:27:12.965943,1920.66,2023-07-02 00:27:23.444465,-0.032000000000152795
1924.33,2023-07-02 00:30:56.314311,1923.78,2023-07-02 00:31:06.460182,-0.054999999999381544
1918.81,2023-07-02 00:33:07.870157,1918.43,2023-07-02 00:34:17.955574,-0.03800000000046566
1921.1,2023-07-02 00:35:50.136690,1920.8,2023-07-02 00:36:01.047733,-0.030000000000654836
1923.94,2023-07-02 00:37:12.680201,1923.83,2023-07-02 00:37:17.162647,-0.01099999999951251
1923.84,2023-07-02 00:37:18.953092,1923.83,2023-07-02 00:37:19.401427,-0.0010000000002037268
1921.55,2023-07-02 00:41:28.692283,1921.0,2023-07-02 00:41:49.529145,-0.05500000000029104
1922.17,2023-07-02 00:44:20.334545,1921.64,2023-07-02 00:44:30.679555,-0.05300000000079308
1921.29,2023-07-02 00:47:31.200974,1920.8,2023-07-02 00:47:31.649742,-0.04899999999997817
