Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30672.93,2023-07-03 05:48:36.260980,30682.72,2023-07-03 05:50:04.694713,0.9790000000000874,2G,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,38.266767
30672.93,2023-07-03 06:00:41.284693,30673.19,2023-07-03 06:04:05.757481,0.02599999999983993,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,18.315885
30642.29,2023-07-03 06:58:32.751505,30649.7,2023-07-03 07:00:09.148666,0.7409999999999854,2G,30,0.02,-10,15,30,5,15,5,30,10,3.569357
30646.65,2023-07-03 07:01:15.443109,30651.52,2023-07-03 07:02:21.117823,0.4869999999998982,2G,30,0.02,-10,15,30,5,15,5,30,10,4.728284
30654.31,2023-07-03 07:02:21.951423,30658.98,2023-07-03 07:03:00.952839,0.4669999999998254,2G,30,0.02,-10,15,30,5,15,5,30,10,4.05722
30647.64,2023-07-03 07:07:46.311841,30682.21,2023-07-03 07:17:35.059202,3.456999999999971,3G,30,0.02,-10,15,30,5,15,5,30,10,4.373106
30677.8,2023-07-03 07:19:02.684796,30683.73,2023-07-03 07:19:42.373171,0.5930000000000292,2G,30,0.02,-10,15,30,5,15,5,30,10,3.815395
30673.13,2023-07-03 07:20:31.271680,30675.64,2023-07-03 07:22:16.744907,0.25099999999983996,2G,30,0.02,-10,15,30,5,15,5,30,10,27.358461
30676.9,2023-07-03 07:22:17.646531,30677.11,2023-07-03 07:22:25.157443,0.02099999999991269,2G,30,0.02,-10,15,30,5,15,5,30,10,3.826398
30683.61,2023-07-03 07:22:30.792172,30689.26,2023-07-03 07:29:03.884149,0.5649999999997818,2G,30,0.02,-10,15,30,5,15,5,30,10,16.969472
