Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
30672.93,2023-07-03 05:53:38.918230,30666.4,2023-07-03 05:57:53.246933,-0.6529999999998837,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,15.490007
30672.93,2023-07-03 05:58:11.368846,30672.01,2023-07-03 06:00:12.684636,-0.09200000000018918,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,8.767571
30672.93,2023-07-03 06:09:02.073549,30666.46,2023-07-03 06:12:09.372222,-0.6470000000001165,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,14.319914
30672.93,2023-07-03 06:14:42.013906,30644.38,2023-07-03 06:14:42.900317,-2.8549999999999276,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,8.294814
30672.93,2023-07-03 06:14:46.541380,30644.58,2023-07-03 06:14:47.431486,-2.8349999999998547,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,12.541067
30672.93,2023-07-03 06:14:51.240214,30644.62,2023-07-03 06:14:52.102737,-2.831000000000131,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,17.256891
30672.93,2023-07-03 06:14:55.742997,30644.63,2023-07-03 06:14:56.578843,-2.8299999999999272,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,21.754257
30672.93,2023-07-03 06:15:00.260351,30644.94,2023-07-03 06:15:01.176319,-2.7990000000001602,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,26.264311
30672.93,2023-07-03 06:15:04.479953,30644.35,2023-07-03 06:15:05.362106,-2.8580000000001746,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,30.757575
30672.93,2023-07-03 06:15:08.849716,30637.22,2023-07-03 06:15:09.869174,-3.5709999999999127,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,34.864517
30672.93,2023-07-03 06:15:13.361871,30639.35,2023-07-03 06:15:14.223020,-3.3580000000001746,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,39.376329
30672.93,2023-07-03 06:15:26.135998,30645.69,2023-07-03 06:15:26.982709,-2.72400000000016,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,8.080757
30672.93,2023-07-03 06:15:30.131477,30649.75,2023-07-03 06:15:31.018820,-2.3180000000000294,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,12.087354
30672.93,2023-07-03 06:15:34.403973,30651.86,2023-07-03 06:15:35.240844,-2.106999999999971,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,16.083628
30672.93,2023-07-03 06:15:38.443357,30651.75,2023-07-03 06:15:39.276189,-2.118000000000029,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,20.401006
30672.93,2023-07-03 06:15:42.265047,30652.17,2023-07-03 06:15:43.134355,-2.076000000000204,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,24.22198
30672.93,2023-07-03 06:15:46.542931,30652.12,2023-07-03 06:15:47.390063,-2.081000000000131,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,28.230738
30672.93,2023-07-03 06:15:50.609339,30652.21,2023-07-03 06:15:51.465388,-2.0720000000001164,1P,60,0.02,-0.0002,0.001,0.003,0.0003,0.001,0.0003,30,10,32.293282
