Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Método,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11
1960.82,2023-07-03 07:29:18.831252,1960.81,2023-07-03 07:29:19.391702,-0.0009999999999990906,2G,30,0,-5,10,20,2.5,10,2.5,30,10,15.70373
1960.81,2023-07-03 07:29:20.222372,1960.18,2023-07-03 07:29:21.056049,-0.06299999999998818,2G,30,0,-5,10,20,2.5,10,2.5,30,10,17.099165
1961.38,2023-07-03 07:29:21.890873,1956.31,2023-07-03 07:32:01.561223,-0.5070000000000164,1P,30,0,-5,10,20,2.5,10,2.5,30,10,18.765533
1970.35,2023-07-03 07:40:08.228053,1965.31,2023-07-03 07:55:07.746710,-0.5039999999999963,1P,30,0,-5,10,20,2.5,10,2.5,30,10,3.5079599999999997
1973.0,2023-07-03 08:16:24.386562,1967.04,2023-07-03 08:18:36.149502,-0.5960000000000036,1P,30,0,-5,10,20,2.5,10,2.5,30,10,10.149252
1967.89,2023-07-03 08:18:52.095586,1963.15,2023-07-03 08:27:13.181695,-0.4740000000000009,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.414799
1963.22,2023-07-03 08:27:13.784401,1958.64,2023-07-03 09:33:54.999037,-0.45799999999999275,1P,30,0,-5,10,20,2.5,10,2.5,30,10,5.211348
1966.0,2023-07-03 11:24:14.354988,1961.11,2023-07-03 12:03:50.983814,-0.48900000000001004,1P,30,0,-5,10,20,2.5,10,2.5,30,10,6.419711
1961.12,2023-07-03 12:03:51.837399,1956.37,2023-07-03 12:16:47.494200,-0.47500000000000003,1P,30,0,-5,10,20,2.5,10,2.5,30,10,17.314311
1969.83,2023-07-03 12:58:45.975218,1964.61,2023-07-03 13:09:45.961927,-0.5220000000000028,1P,30,0,-5,10,20,2.5,10,2.5,30,10,17.044909
1968.91,2023-07-03 13:46:45.921108,1964.48,2023-07-03 13:53:39.925563,-0.4430000000000064,1P,30,0,-5,10,20,2.5,10,2.5,30,10,9.358989
1966.84,2023-07-03 14:10:19.523393,1961.8,2023-07-03 14:28:12.510602,-0.5039999999999963,1P,30,0,-5,10,20,2.5,10,2.5,30,10,21.349581
1964.61,2023-07-03 14:42:28.657939,1959.25,2023-07-03 14:46:29.476136,-0.53599999999999,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.653613
1975.04,2023-07-03 15:35:13.246109,1969.21,2023-07-03 15:37:18.806645,-0.5829999999999927,1P,30,0,-5,10,20,2.5,10,2.5,30,10,5.397545
1972.78,2023-07-03 15:42:28.364729,1967.76,2023-07-03 15:53:45.366891,-0.5019999999999982,1P,30,0,-5,10,20,2.5,10,2.5,30,10,2.709601
1970.3,2023-07-03 16:02:46.144233,1964.08,2023-07-03 16:06:23.679637,-0.6220000000000028,1P,30,0,-5,10,20,2.5,10,2.5,30,10,11.310481
1963.0,2023-07-03 16:07:01.355892,1960.42,2023-07-03 16:07:24.083796,-0.25799999999999274,1P,30,0,-5,10,20,2.5,10,2.5,30,10,4.377351
1961.01,2023-07-03 16:07:25.165458,1960.42,2023-07-03 16:07:39.993205,-0.058999999999991816,1P,30,0,-5,10,20,2.5,10,2.5,30,10,27.7019
1964.06,2023-07-03 16:17:24.588792,1958.89,2023-07-03 16:35:35.267848,-0.5169999999999846,1P,30,0,-5,10,20,2.5,10,2.5,30,10,11.362397
1964.66,2023-07-03 17:00:13.613196,1959.5,2023-07-03 17:06:12.974477,-0.5160000000000082,1P,30,0,-5,10,20,2.5,10,2.5,30,10,2.919693
1965.22,2023-07-03 17:28:23.605358,1960.24,2023-07-03 18:26:16.433597,-0.49800000000000183,1P,30,0,-5,10,20,2.5,10,2.5,30,10,3.192869
1956.95,2023-07-03 21:39:16.177708,1954.78,2023-07-03 22:00:33.397708,-0.2170000000000073,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,5.099593
1956.39,2023-07-03 22:56:23.456085,1955.1,2023-07-03 23:00:07.503565,-0.1290000000000191,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.368823
1955.35,2023-07-03 23:00:23.707029,1952.7,2023-07-03 23:08:07.504170,-0.26499999999998636,1P,15,0,-2.5,10,20,2.5,10,2.5,15,10,4.927235
