Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida,Metodo,Cantidad_Trade
30831.91,2023-07-05 01:39:23.812875,30830.41,2023-07-05 01:39:24.391860,-0.0075,SEÑAL,0.005
30831.39,2023-07-05 01:39:29.031423,30830.0,2023-07-05 01:39:51.304579,-0.00694999999999709,SEÑAL,0.005
30832.23,2023-07-05 01:40:05.696021,30830.25,2023-07-05 01:40:20.161085,-0.009899999999997817,SEÑAL,0.005
30832.95,2023-07-05 01:40:36.037189,30832.01,2023-07-05 01:40:36.855562,-0.004700000000011642,SEÑAL,0.005
30833.4,2023-07-05 01:40:38.312135,30832.31,2023-07-05 01:40:38.886105,-0.005450000000000728,SEÑAL,0.005
30833.03,2023-07-05 01:40:40.282804,30832.31,2023-07-05 01:40:40.860207,-0.003599999999987631,SEÑAL,0.005
30832.91,2023-07-05 01:40:42.621872,30832.43,2023-07-05 01:40:43.415563,-0.002399999999997817,SEÑAL,0.005
30832.41,2023-07-05 01:40:44.568629,30832.17,2023-07-05 01:40:57.159931,-0.0012000000000080035,SEÑAL,0.005
30802.84,2023-07-05 01:49:39.747354,30802.11,2023-07-05 01:50:00.052125,-0.0036499999999978173,SEÑAL,0.005
30802.55,2023-07-05 01:50:01.266819,30802.24,2023-07-05 01:50:02.058285,-0.0015499999999883584,SEÑAL,0.005
30800.97,2023-07-05 01:50:04.068420,30800.4,2023-07-05 01:50:05.044931,-0.0028499999999985447,SEÑAL,0.005
30801.02,2023-07-05 01:50:06.644709,30800.97,2023-07-05 01:50:07.270497,-0.000249999999996362,SEÑAL,0.005
30805.17,2023-07-05 01:51:07.900108,30805.16,2023-07-05 01:51:08.990784,-4.999999999199645e-05,SEÑAL,0.005
30809.5,2023-07-05 01:51:10.500612,30808.41,2023-07-05 01:51:11.427423,-0.005450000000000728,UMBRAL_PERDIDA,0.005
30811.27,2023-07-05 01:51:14.975039,30810.01,2023-07-05 01:51:16.093553,-0.006300000000010186,UMBRAL_PERDIDA,0.005
30811.71,2023-07-05 01:51:17.584830,30810.19,2023-07-05 01:51:18.095571,-0.007600000000002183,UMBRAL_PERDIDA,0.005
30812.27,2023-07-05 01:51:19.343880,30810.67,2023-07-05 01:51:19.908170,-0.008000000000010913,UMBRAL_PERDIDA,0.005
30810.92,2023-07-05 01:51:21.157232,30809.06,2023-07-05 01:51:21.672330,-0.009299999999984722,UMBRAL_PERDIDA,0.005
30809.29,2023-07-05 01:51:58.219960,30795.87,2023-07-05 01:56:09.124151,-0.06710000000000946,UMBRAL_PERDIDA,0.005
30403.4,2023-07-05 14:37:13.291381,30399.8,2023-07-05 14:38:13.854759,-0.018000000000010914,SEÑAL,0.005
30419.52,2023-07-05 14:40:11.420422,30418.31,2023-07-05 14:40:12.023512,-0.006049999999995634,UMBRAL_PERDIDA,0.005
30428.8,2023-07-05 14:41:42.893277,30422.21,2023-07-05 14:41:49.178525,-0.03295000000000073,UMBRAL_PERDIDA,0.005
30442.26,2023-07-05 14:42:50.350049,30438.39,2023-07-05 14:43:16.511703,-0.019349999999994906,UMBRAL_PERDIDA,0.005
30443.58,2023-07-05 14:45:58.154908,30436.35,2023-07-05 14:46:08.212508,-0.03615000000001601,UMBRAL_PERDIDA,0.005
30416.81,2023-07-05 14:47:25.543998,30404.26,2023-07-05 14:47:42.382401,-0.06275000000001456,UMBRAL_PERDIDA,0.005
30396.71,2023-07-05 14:48:23.166536,30386.37,2023-07-05 14:48:32.903299,-0.05170000000000073,UMBRAL_PERDIDA,0.005
30398.22,2023-07-05 14:48:39.971358,30395.21,2023-07-05 14:48:40.930562,-0.015050000000010187,UMBRAL_PERDIDA,0.005
30397.05,2023-07-05 14:48:42.258101,30387.55,2023-07-05 14:50:10.693916,-0.0475,UMBRAL_PERDIDA,0.005
30427.38,2023-07-05 14:52:28.813074,30421.24,2023-07-05 14:52:58.564318,-0.03069999999999709,SEÑAL,0.005
30415.46,2023-07-05 14:56:14.020923,30409.27,2023-07-05 14:56:50.826362,-0.03094999999999345,UMBRAL_PERDIDA,0.005
30425.26,2023-07-05 15:00:09.724376,30416.45,2023-07-05 15:00:22.979719,-0.04404999999998836,UMBRAL_PERDIDA,0.005
30418.82,2023-07-05 15:00:49.951592,30418.02,2023-07-05 15:00:53.058675,-0.003999999999996362,SEÑAL,0.005
30418.84,2023-07-05 15:00:54.149476,30417.88,2023-07-05 15:00:55.336892,-0.004799999999995634,SEÑAL,0.005
30418.41,2023-07-05 15:00:57.172635,30418.14,2023-07-05 15:00:58.330384,-0.0013500000000021828,SEÑAL,0.005
30391.13,2023-07-05 15:02:27.771041,30389.22,2023-07-05 15:02:30.828578,-0.009549999999999273,SEÑAL,0.005
