Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Ganancia,Ganancia 0.01,Costo_Compra,Costo_Venta,Costo_xTrade
30506.57,15:38.1,30507.47,16:30.0,0.07581726,0.009,0.3050657,0.3050747,0.9201404
30507.61,17:10.1,30527.3,18:54.6,1.93641559,0.1969,0.3050761,0.305273,0.9203491
30517.99,25:17.7,30522,25:56.7,0.39357456,0.0401,0.3051799,0.30522,0.9203999
30520.05,27:08.5,30533.91,29:25.1,1.35559572,0.1386,0.3052005,0.3053391,0.9205396
30516,34:19.6,30518.48,36:17.0,0.22041911,0.0248,0.30516,0.3051848,0.9203448
30503.76,39:18.3,30506.76,40:55.6,0.27990284,0.03,0.3050376,0.3050676,0.9201052
30502.09,45:25.8,30505.98,46:10.2,0.37815298,0.0389,0.3050209,0.3050598,0.9200807
30509.28,47:07.7,30512.41,47:42.2,0.3100348,0.0313,0.3050928,0.3051241,0.9202169
30502.39,48:48.3,30518.01,50:25.0,1.5390709,0.1562,0.3050239,0.3051801,0.920204
30514,51:31.1,30519.25,52:18.8,0.48665808,0.0525,0.30514,0.3051925,0.9203325
30510.64,55:10.0,30519.11,56:06.2,0.82122473,0.0847,0.3051064,0.3051911,0.9202975
30523.02,56:11.0,30533.24,57:09.1,1.01273763,0.1022,0.3052302,0.3053324,0.9205626
30528.01,59:16.4,30551.99,01:09.2,2.34242087,0.2398,0.3052801,0.3055199,0.9208
30549.08,02:06.2,30553.15,03:02.9,0.40277604,0.0407,0.3054908,0.3055315,0.9210223
30548,05:41.5,30551.99,07:00.4,0.39740147,0.0399,0.30548,0.3055199,0.9209999
30501.44,26:29.5,30503.83,27:43.4,0.22868524,0.0239,0.3050144,0.3050383,0.9200527
30497.1,29:20.6,30503.92,32:07.1,0.65567517,0.0682,0.304971,0.3050392,0.9200102
30495.52,35:33.4,30497.22,36:21.4,0.16943632,0.017,0.3049552,0.3049722,0.9199274
30529.42,05:55.2,30539.51,07:17.9,0.8945638,0.1009,0.3052942,0.3053951,0.9206893
30530.67,12:40.0,30539.45,13:27.3,0.86090093,0.0878,0.3053067,0.3053945,0.9207012
30526.73,18:03.8,30531.81,19:53.3,0.49978874,0.0508,0.3052673,0.3053181,0.9205854
30537.52,21:30.7,30538.09,22:09.6,0.0034908,0.0057,0.3053752,0.3053809,0.9207561
30540.68,27:09.5,30554.8,27:52.6,1.3751534,0.1412,0.3054068,0.305548,0.9209548
30556.97,30:44.9,30557.89,31:19.2,0.06538597,0.0092,0.3055697,0.3055789,0.9211486
30531.76,40:17.2,30550.22,42:11.4,1.83784562,0.1846,0.3053176,0.3055022,0.9208198
30551.76,48:15.0,30553.16,48:58.9,0.13495208,0.014,0.3055176,0.3055316,0.9210492
30544.52,50:35.6,30552.58,51:40.7,0.7801843,0.0806,0.3054452,0.3055258,0.920971
30555.06,53:56.5,30557.13,54:26.6,0.16013188,0.0207,0.3055506,0.3055713,0.9211219
30551.88,06:02.3,30558.19,07:08.6,0.62202548,0.0631,0.3055188,0.3055819,0.9211007
30526.31,08:58.1,30534.53,10:27.3,0.81422534,0.0822,0.3052631,0.3053453,0.9206084
30541.62,11:46.2,30551.03,12:16.4,0.8577782,0.0941,0.3054162,0.3055103,0.9209265
30545.5,17:58.0,30547.42,20:21.6,0.17373785,0.0192,0.305455,0.3054742,0.9209292
30553.63,20:43.8,30554.44,21:13.7,0.03292242,0.0081,0.3055363,0.3055444,0.9210807
30546.24,23:34.6,30549.99,25:38.1,0.36731365,0.0375,0.3054624,0.3054999,0.9209623
30550.68,26:00.3,30556.59,26:47.9,0.53422471,0.0591,0.3055068,0.3055659,0.9210727
30656.16,16:23.7,30653.39,16:41.6,-0.277,-0.0277,0.3065616,0.3065339,0.9230955
30651.9,22:30.9,30656.79,23:18.9,0.489,0.0489,0.306519,0.3065679,0.9230869
30692.83,30:20.5,30708.66,31:25.5,1.583,0.1583,0.3069283,0.3070866,0.9240149
30711.27,32:27.7,30713.88,32:45.0,0.261,0.0261,0.3071127,0.3071388,0.9242515
30706.17,33:46.7,30717.32,34:47.2,1.115,0.1115,0.3070617,0.3071732,0.9242349
30722.92,34:56.4,30739.72,35:35.8,1.68,0.168,0.3072292,0.3073972,0.9246264
30696,38:23.4,30699.09,39:32.8,0.309,0.0309,0.30696,0.3069909,0.9239509
30703.68,40:01.2,30706.01,40:31.5,0.233,0.0233,0.3070368,0.3070601,0.9240969
30687.08,42:56.3,30689.99,44:44.6,0.291,0.0291,0.3068708,0.3068999,0.9237707
30690.77,44:54.2,30698.1,45:32.8,0.733,0.0733,0.3069077,0.306981,0.9238887
30668.71,47:35.9,30675.95,50:25.7,0.724,0.0724,0.3066871,0.3067595,0.9234466
30668.18,54:23.6,30669.35,55:37.9,0.117,0.0117,0.3066818,0.3066935,0.9233753
30656.91,59:41.2,30668.73,00:44.5,1.182,0.1182,0.3065691,0.3066873,0.9232564
30670.76,01:50.3,30675.96,02:20.8,0.52,0.052,0.3067076,0.3067596,0.9234672
30678.75,03:09.1,30680.01,03:35.1,0.126,0.0126,0.3067875,0.3068001,0.9235876
30717.08,07:35.9,30722.81,08:06.2,0.573,0.0573,0.3071708,0.3072281,0.9243989
30722.43,09:25.8,30736.3,10:23.1,1.387,0.1387,0.3072243,0.307363,0.9245873
