Precio_Entrada,Tiempo_Entrada,Precio_Salida,Tiempo_Salida,Perdida
30522.19,2023-07-02 04:20:05.054881,30520.13,2023-07-02 04:20:12.987379,-0.21422546000030707
30520.43,2023-07-02 04:20:35.143578,30518.52,2023-07-02 04:23:07.993146,-0.19819453999934922
30518.53,2023-07-02 04:23:47.968546,30514.83,2023-07-02 04:24:51.161449,-0.38539746000060404
30526.62,2023-07-02 04:31:02.328738,30524.85,2023-07-02 04:31:58.511453,-0.25344756999948004
30526.01,2023-07-02 04:32:16.370664,30524.66,2023-07-02 04:33:22.514539,-0.13563746999989235
30511.99,2023-07-02 04:38:21.530986,30506.05,2023-07-02 04:38:47.272456,-0.5994969800003673
30501.84,2023-07-02 04:41:50.527243,30498.86,2023-07-02 04:44:54.947331,-0.30769025000063266
30516.0,2023-07-02 04:53:42.263779,30512.58,2023-07-02 04:54:30.197869,-0.3429211700004089
30539.27,2023-07-02 04:57:31.142101,30539.14,2023-07-02 04:57:39.791571,-0.01510422000046674
30544.87,2023-07-02 05:07:57.628528,30542.63,2023-07-02 05:08:10.374011,-0.24021369999991293
30526.49,2023-07-02 05:09:07.928152,30525.93,2023-07-02 05:13:00.232369,-0.06318782000016654
30521.75,2023-07-02 05:13:41.238611,30520.04,2023-07-02 05:15:37.646024,-0.18953336999948078
30514.0,2023-07-02 05:16:08.623995,30510.47,2023-07-02 05:17:26.936284,-0.3783680700007608
30508.07,2023-07-02 05:18:02.587739,30507.39,2023-07-02 05:21:55.219675,-0.07635333999951399
30506.52,2023-07-02 05:22:39.211371,30505.97,2023-07-02 05:25:44.203754,-0.0624041600003693
30506.0,2023-07-02 05:28:05.884101,30502.0,2023-07-02 05:28:31.197106,-0.4019447800001217
30496.31,2023-07-02 05:33:34.816590,30494.53,2023-07-02 05:34:57.582691,-0.20241349000025366
30534.25,2023-07-02 19:11:42.983076,30532.03,2023-07-02 19:12:13.233099,-0.2249624899995979
30541.95,2023-07-02 19:15:08.995220,30540.9,2023-07-02 19:15:30.746101,-0.12275897000017721
30530.37,2023-07-02 19:16:36.666891,30528.95,2023-07-02 19:17:28.589594,-0.15436542999941594
30538.36,2023-07-02 19:26:52.087574,30538.35,2023-07-02 19:26:56.474490,-0.002934409999397758
30538.54,2023-07-02 19:26:58.086078,30538.34,2023-07-02 19:26:58.685057,-0.051499170000170125
30558.62,2023-07-02 19:32:18.289139,30555.16,2023-07-02 19:32:22.530682,-0.3475811199996315
30558.64,2023-07-02 19:32:23.994298,30555.16,2023-07-02 19:32:24.442734,-0.3722238300006211
30544.25,2023-07-02 19:33:01.985377,30540.01,2023-07-02 19:34:11.791878,-0.5046482799998557
30540.01,2023-07-02 19:34:47.631880,30540.02,2023-07-02 19:36:21.412659,-0.0168512299997019
30532.23,2023-07-02 19:37:06.590185,30531.71,2023-07-02 19:39:24.127662,-0.06081471000015881
30551.76,2023-07-02 19:47:44.558041,30551.75,2023-07-02 19:47:57.200578,-0.0014157999994495185
30551.76,2023-07-02 19:48:01.867849,30550.96,2023-07-02 19:48:10.563904,-0.0801947800000562
30556.67,2023-07-02 19:51:50.185395,30553.99,2023-07-02 19:52:11.269050,-0.27332777000083297
30559.9,2023-07-02 19:55:34.094094,30558.97,2023-07-02 19:55:59.910232,-0.09456212999975833
30558.78,2023-07-02 19:57:21.796671,30558.08,2023-07-02 19:57:29.805057,-0.12396687000000384
30557.91,2023-07-02 19:58:05.487457,30557.92,2023-07-02 20:00:55.509916,-0.001599279999936698
30553.46,2023-07-02 20:02:58.298456,30551.2,2023-07-02 20:05:27.387108,-0.23630504999982804
30555.66,2023-07-02 20:21:45.381713,30555.1,2023-07-02 20:22:02.508425,-0.06459357000039745
30648.68,2023-07-03 01:17:34.924533,30652.01,2023-07-03 01:20:29.684266,0.33299999999981084,10007.27064768,9813.77189453
30655.72,2023-07-03 01:21:15.893125,30654.05,2023-07-03 01:21:41.631329,-0.1670000000001892,10007.61589453,10007.42109533
30658.79,2023-07-03 01:24:24.942038,30679.68,2023-07-03 01:25:31.122443,2.088999999999942,10007.77531659,9815.87058064
30684.27,2023-07-03 01:26:29.020361,30697.99,2023-07-03 01:26:54.925673,1.3720000000001165,10009.87358064,9817.13663538
30709.37,2023-07-03 01:27:25.930600,30699.5,2023-07-03 01:27:38.530137,-0.9869999999998982
30683.07,2023-07-03 01:28:52.949636,30690.54,2023-07-03 01:29:49.234337,0.7470000000001165,10010.25141167,9816.92290166
30709.9,2023-07-03 01:36:51.049699,30702.82,2023-07-03 01:37:34.861220,-0.7080000000001747
30709.71,2023-07-03 01:40:44.848093,30709.88,2023-07-03 01:41:10.770112,0.017000000000189176,10015.88080756,9821.17706934
30690.1,2023-07-03 01:46:21.392664,30688.25,2023-07-03 01:46:51.790313,-0.1849999999998545
30671.58,2023-07-03 01:51:18.389088,30668.82,2023-07-03 01:52:23.754342,-0.27600000000020375,10017.52795737,10017.20057879
30671.29,2023-07-03 01:52:47.653371,30668.13,2023-07-03 01:53:44.109314,-0.31599999999998546,10017.20057879,9822.29157253
30662.1,2023-07-03 01:56:56.861508,30664.89,2023-07-03 01:58:31.032393,0.27900000000008734,10016.85231871,9822.56656531
30716.78,2023-07-03 02:07:11.902882,30708.0,2023-07-03 02:07:13.590411,-0.8779999999998837
30708.29,2023-07-03 02:07:14.927726,30708.02,2023-07-03 02:07:15.513552,-0.027000000000043656
30708.63,2023-07-03 02:07:17.126002,30708.43,2023-07-03 02:07:17.306129,-0.02000000000007276
30723.28,2023-07-03 02:08:44.947797,30721.19,2023-07-03 02:08:58.985592,-0.20900000000001456
30742.01,2023-07-03 02:10:27.602643,30736.14,2023-07-03 02:10:41.599693,-0.5869999999998982
30739.99,2023-07-03 02:11:21.217764,30731.97,2023-07-03 02:11:29.293344,-0.8020000000000437
30730.46,2023-07-03 02:15:52.912934,30726.24,2023-07-03 02:16:05.868520,-0.42199999999975263
30728.35,2023-07-03 02:16:47.103101,30727.97,2023-07-03 02:16:49.399041,-0.03799999999973807
30746.18,2023-07-03 02:26:16.976982,30743.97,2023-07-03 02:26:24.645537,-0.2209999999999127
30768.0,2023-07-03 02:30:08.391611,30766.57,2023-07-03 02:30:29.290625,-0.1430000000000291
30774.9,2023-07-03 02:31:48.639122,30772.52,2023-07-03 02:32:01.340729,-0.23800000000010188
30759.36,2023-07-03 02:40:22.217788,30757.58,2023-07-03 02:40:38.854047,-0.17799999999988358
30760.78,2023-07-03 02:47:50.999467,30759.96,2023-07-03 02:48:38.786050,-0.0819999999999709
30785.99,2023-07-03 03:03:17.781953,30781.23,2023-07-03 03:03:26.263425,-0.47600000000020376
30779.18,2023-07-03 03:06:31.328820,30763.23,2023-07-03 03:06:41.113015,-1.5950000000000728
30762.44,2023-07-03 03:08:29.586248,30752.0,2023-07-03 03:08:41.739385,-1.043999999999869
30760.47,2023-07-03 03:08:56.305263,30758.31,2023-07-03 03:10:22.962603,-0.21599999999998545
30769.07,2023-07-03 03:18:02.472313,30767.14,2023-07-03 03:18:23.765042,-0.19300000000002912
30774.2,2023-07-03 03:31:32.285494,30762.55,2023-07-03 03:31:51.770655,-1.1650000000001455
30764.46,2023-07-03 03:32:17.830511,30762.34,2023-07-03 03:33:23.313586,-0.21199999999989816
30762.35,2023-07-03 03:33:41.400206,30759.28,2023-07-03 03:35:09.317797,-0.3069999999999709
30790.77,2023-07-03 03:54:06.763371,30790.58,2023-07-03 03:54:07.225545,-0.018999999999869035
30790.79,2023-07-03 03:54:08.556854,30790.6,2023-07-03 03:54:09.153398,-0.01900000000023283
30777.57,2023-07-03 03:55:20.249181,30774.9,2023-07-03 03:55:24.523676,-0.2669999999998254
30770.01,2023-07-03 03:55:25.827819,30770.0,2023-07-03 03:55:26.298803,-0.000999999999839929
30765.63,2023-07-03 03:56:12.617922,30765.25,2023-07-03 03:57:35.177656,-0.03800000000010187
30725.21,2023-07-03 04:40:53.443206,30721.11,2023-07-03 04:41:10.976556,-0.4099999999998545
30709.38,2023-07-03 04:44:33.950801,30704.43,2023-07-03 04:46:02.119350,-0.49500000000007277
30695.17,2023-07-03 04:56:08.658862,30692.84,2023-07-03 04:56:52.414396,-0.23299999999981083
30689.68,2023-07-03 04:57:22.705241,30687.18,2023-07-03 04:58:15.347833,-0.25
30680.19,2023-07-03 04:58:59.236332,30676.56,2023-07-03 04:59:03.475026,-0.3629999999997381
30680.25,2023-07-03 04:59:04.334785,30670.4,2023-07-03 04:59:04.796340,-0.9849999999998545
30672.21,2023-07-03 04:59:29.497887,30672.0,2023-07-03 05:00:21.884839,-0.02099999999991269
30685.01,2023-07-03 05:03:43.790764,30683.04,2023-07-03 05:03:44.242575,-0.19699999999975262
30685.29,2023-07-03 05:03:45.058800,30683.04,2023-07-03 05:03:45.245840,-0.225
30681.57,2023-07-03 05:03:46.111457,30681.4,2023-07-03 05:03:46.565390,-0.016999999999825377
30681.51,2023-07-03 05:03:47.572806,30681.36,2023-07-03 05:03:47.752175,-0.014999999999781723
30681.55,2023-07-03 05:03:48.571349,30681.3,2023-07-03 05:03:48.752285,-0.025
30681.56,2023-07-03 05:03:49.747536,30681.14,2023-07-03 05:03:49.958536,-0.04200000000018918
30680.03,2023-07-03 05:04:23.157997,30678.98,2023-07-03 05:05:19.819643,-0.10499999999992725
30678.56,2023-07-03 05:05:59.286185,30677.23,2023-07-03 05:06:12.425458,-0.13300000000017462
30675.07,2023-07-03 05:08:47.002377,30673.53,2023-07-03 05:09:17.189699,-0.15400000000008732
30691.63,2023-07-03 05:31:39.341742,30689.28,2023-07-03 05:32:40.176395,-0.23500000000021828
30682.06,2023-07-03 05:33:45.688885,30679.69,2023-07-03 05:35:08.731039,-0.23700000000026195
30697.5,2023-07-03 05:42:14.783177,30695.32,2023-07-03 05:43:28.663198,-0.21800000000002911
30675.71,2023-07-03 05:56:56.220536,30675.63,2023-07-03 05:56:56.668949,-0.007999999999810825
30675.71,2023-07-03 05:56:57.545114,30675.26,2023-07-03 05:56:57.990566,-0.04500000000007276
30676.99,2023-07-03 05:56:58.593878,30675.26,2023-07-03 05:56:59.045268,-0.17300000000032015
30677.1,2023-07-03 05:56:59.860500,30675.01,2023-07-03 05:57:00.313376,-0.20900000000001456
30675.33,2023-07-03 05:57:00.885455,30674.74,2023-07-03 05:57:01.474687,-0.059000000000014555
30677.6,2023-07-03 05:57:02.537508,30674.37,2023-07-03 05:57:02.717340,-0.3229999999999564
30672.9,2023-07-03 05:57:26.632579,30666.64,2023-07-03 05:57:52.790972,-0.6260000000002037
30674.47,2023-07-03 05:58:06.093081,30668.07,2023-07-03 05:58:23.461778,-0.6400000000001456
30677.63,2023-07-03 06:01:44.880546,30674.68,2023-07-03 06:02:07.463157,-0.29500000000007276
30675.82,2023-07-03 06:02:42.922265,30675.8,2023-07-03 06:03:30.869035,-0.0020000000000436557
30675.82,2023-07-03 06:08:51.136688,30673.24,2023-07-03 06:09:12.461338,-0.2579999999998108
30666.47,2023-07-03 06:12:26.549110,30665.01,2023-07-03 06:13:45.695743,-0.1460000000002765
30656.99,2023-07-03 06:17:03.993518,30654.54,2023-07-03 06:17:30.363655,-0.24500000000007277
30637.51,2023-07-03 06:22:19.957256,30633.7,2023-07-03 06:22:37.687144,-0.3809999999997672
30635.4,2023-07-03 06:22:51.061740,30627.4,2023-07-03 06:23:12.475744,-0.8
30635.02,2023-07-03 06:25:02.159361,30630.1,2023-07-03 06:25:02.618445,-0.4920000000001892
30630.61,2023-07-03 06:25:03.511305,30629.84,2023-07-03 06:25:03.971027,-0.07700000000004366
30631.21,2023-07-03 06:25:04.605604,30629.81,2023-07-03 06:25:04.808629,-0.13999999999978172
30631.47,2023-07-03 06:25:05.678179,30629.73,2023-07-03 06:25:06.138368,-0.17400000000016008
30630.44,2023-07-03 06:25:07.136005,30629.61,2023-07-03 06:25:07.598370,-0.08299999999981084
30639.96,2023-07-03 06:27:49.006967,30637.89,2023-07-03 06:28:06.551292,-0.2069999999999709
30636.08,2023-07-03 06:30:44.345679,30634.47,2023-07-03 06:31:23.884502,-0.1610000000000582
30650.13,2023-07-03 06:55:31.713224,30649.36,2023-07-03 06:55:40.875492,-0.07700000000004366
30657.99,2023-07-03 07:06:26.392954,30654.0,2023-07-03 07:07:01.526265,-0.3990000000001601
30647.65,2023-07-03 07:07:46.439802,30645.19,2023-07-03 07:08:03.786659,-0.2460000000002765
30641.05,2023-07-03 07:08:25.812256,30640.65,2023-07-03 07:09:09.786583,-0.039999999999781724
30642.46,2023-07-03 07:09:31.356511,30642.22,2023-07-03 07:10:07.156968,-0.023999999999796275
30647.53,2023-07-03 07:13:05.566325,30646.73,2023-07-03 07:15:04.688199,-0.07999999999992724
30687.83,2023-07-03 07:20:08.435833,30684.99,2023-07-03 07:20:21.685342,-0.2840000000000146
30682.06,2023-07-03 07:23:35.566387,30682.03,2023-07-03 07:24:10.238449,-0.003000000000247383
30689.01,2023-07-03 07:31:32.536894,30682.94,2023-07-03 07:31:54.692493,-0.6069999999999709
30678.99,2023-07-03 07:32:16.578587,30678.28,2023-07-03 07:33:09.218439,-0.0710000000002765
30728.01,2023-07-03 07:37:14.275092,30726.62,2023-07-03 07:37:18.765610,-0.1389999999999418
30726.63,2023-07-03 07:37:19.636312,30726.54,2023-07-03 07:37:20.094996,-0.009000000000014552
30732.0,2023-07-03 07:41:38.639945,30731.77,2023-07-03 07:43:01.690819,-0.022999999999956347
30730.9,2023-07-03 07:44:55.757266,30728.9,2023-07-03 07:45:00.031256,-0.2
30729.42,2023-07-03 07:45:00.854797,30728.63,2023-07-03 07:45:01.299702,-0.07899999999972351
30714.0,2023-07-03 07:48:56.307266,30711.23,2023-07-03 07:49:13.790979,-0.27700000000004366
30701.29,2023-07-03 07:50:02.087330,30697.79,2023-07-03 07:50:28.097050,-0.35000000000000003
30693.36,2023-07-03 07:50:37.949461,30693.03,2023-07-03 07:50:38.398537,-0.033000000000174626
30694.46,2023-07-03 07:50:50.096894,30686.19,2023-07-03 07:52:04.564746,-0.8270000000000437
30679.24,2023-07-03 07:53:02.187636,30673.91,2023-07-03 07:53:59.199760,-0.5330000000001747
30669.32,2023-07-03 07:54:38.446387,30665.75,2023-07-03 07:54:42.747981,-0.3569999999999709
30664.67,2023-07-03 07:54:43.575621,30664.38,2023-07-03 07:54:44.033224,-0.028999999999723514
30665.88,2023-07-03 07:56:19.092813,30661.78,2023-07-03 07:56:27.749082,-0.4100000000002183
30661.36,2023-07-03 07:57:02.804154,30657.08,2023-07-03 07:57:20.371910,-0.4279999999998836
30669.27,2023-07-03 08:00:24.052420,30667.21,2023-07-03 08:00:28.377154,-0.20600000000013097
30667.28,2023-07-03 08:00:29.205455,30666.94,2023-07-03 08:00:29.657019,-0.03400000000001455
30667.31,2023-07-03 08:00:30.248227,30666.61,2023-07-03 08:00:30.437385,-0.07000000000007277
30669.47,2023-07-03 08:00:50.423032,30666.66,2023-07-03 08:01:20.923771,-0.281000000000131
30655.99,2023-07-03 08:02:18.152922,30653.23,2023-07-03 08:03:01.616922,-0.27600000000020375
30689.76,2023-07-03 08:10:15.815277,30688.0,2023-07-03 08:10:32.932603,-0.17599999999983995
30679.99,2023-07-03 08:14:46.222311,30679.59,2023-07-03 08:15:34.301755,-0.04000000000014552
30652.08,2023-07-03 08:19:09.063412,30648.23,2023-07-03 08:19:22.100189,-0.3850000000002183
30645.69,2023-07-03 08:19:26.511953,30644.6,2023-07-03 08:20:10.106553,-0.10900000000001456
